104.18.238.246,SJC,North America,San Jose,174 ms
104.20.69.102,FRA,Europe,Frankfurt,174 ms
104.20.61.128,FRA,Europe,Frankfurt,174 ms
162.159.255.86,LAX,North America,Los Angeles,174 ms
172.67.104.177,FRA,Europe,Frankfurt,174 ms
104.19.221.69,SJC,North America,San Jose,174 ms
104.18.130.255,SJC,North America,San Jose,174 ms
198.41.203.239,SJC,North America,San Jose,174 ms
104.16.2.129,SJC,North America,San Jose,174 ms
104.20.148.76,FRA,Europe,Frankfurt,174 ms
104.20.149.189,FRA,Europe,Frankfurt,174 ms
104.20.158.118,FRA,Europe,Frankfurt,174 ms
104.18.17.232,LAX,North America,Los Angeles,174 ms
104.16.200.237,SJC,North America,San Jose,174 ms
104.16.197.180,SJC,North America,San Jose,174 ms
104.24.194.179,FRA,Europe,Frankfurt,174 ms
104.20.51.71,FRA,Europe,Frankfurt,174 ms
162.159.130.64,FRA,Europe,Frankfurt,174 ms
104.19.4.80,SJC,North America,San Jose,174 ms
104.16.41.181,SJC,North America,San Jose,174 ms
104.20.74.248,FRA,Europe,Frankfurt,175 ms
104.16.9.179,SJC,North America,San Jose,175 ms
104.25.161.228,FRA,Europe,Frankfurt,175 ms
104.24.179.188,FRA,Europe,Frankfurt,175 ms
104.19.224.242,SJC,North America,San Jose,175 ms
104.19.222.207,SJC,North America,San Jose,175 ms
104.16.188.11,SJC,North America,San Jose,175 ms
172.67.99.43,FRA,Europe,Frankfurt,175 ms
172.67.98.248,FRA,Europe,Frankfurt,175 ms
104.20.53.225,FRA,Europe,Frankfurt,175 ms
172.67.11.213,FRA,Europe,Frankfurt,175 ms
104.16.16.227,SJC,North America,San Jose,175 ms
104.18.49.98,SJC,North America,San Jose,175 ms
104.20.140.143,FRA,Europe,Frankfurt,175 ms
104.25.77.59,FRA,Europe,Frankfurt,175 ms
104.25.164.81,FRA,Europe,Frankfurt,175 ms
104.24.154.91,FRA,Europe,Frankfurt,175 ms
104.19.203.116,SJC,North America,San Jose,175 ms
172.66.46.21,SJC,North America,San Jose,175 ms
104.19.123.175,SJC,North America,San Jose,175 ms
104.19.122.141,SJC,North America,San Jose,175 ms
104.20.159.138,FRA,Europe,Frankfurt,176 ms
172.65.222.10,CDG,Europe,Paris,176 ms
104.20.118.157,FRA,Europe,Frankfurt,176 ms
104.20.115.31,FRA,Europe,Frankfurt,176 ms
104.20.108.186,FRA,Europe,Frankfurt,176 ms
104.20.103.214,FRA,Europe,Frankfurt,176 ms
104.20.119.73,FRA,Europe,Frankfurt,176 ms
